new entry "Cone_OdinHUN_Summon_TurbulantWind"
type "SkillData"
data "SkillType" "Cone"
data "ForGameMaster" "No"
data "Ability" "Air"
data "ActionPoints" "2"
data "Cooldown" "3"
data "Damage Multiplier" "90"
data "Damage Range" "10"
data "DamageType" "Air"
data "SkillProperties" "SUFFOCATING,100,1;IF(Enemy):OdinCORE_PROC_LOSTFOOTING,100,0;"
data "Range" "10"
data "Angle" "50"
data "DeathType" "DoT"
data "SurfaceStatusChance" "0"
data "SurfaceGrowStep" "5"
data "SurfaceGrowInterval" "10"
data "TargetConditions" "Character;!Dead;!Ally"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "Icon" "OBAERO_Skill_TurbulentWind"
data "DisplayName" "Cone_OdinHUN_Summon_TurbulantWind_DisplayName"
data "DisplayNameRef" "Turbulent Wind"
data "Description" "Cone_OdinHUN_Summon_TurbulantWind_Description"
data "DescriptionRef" "Blast wind in a cone, <font color='#797980'>Suffocating</font> and dealing [1] to enemies. Also applies <font color='#dbdbdb'>Lost Footing</font> to <font color='#aa3938'>enemies</font>. <br><br>Setting <font color='#dbdbdb'>Lost Footing</font> on an <font color='#aa3938'>enemy</font> who already has <font color='#dbdbdb'>Lost Footing</font> will set <font color='#dbdbdb'>Knocked Down</font> if either Armour type is depleted."
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Air_Lightning_Prepare_Ground_01"
data "CastAnimation" "skill_cast_cone_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Char_Creatures_Condor_Cast_Air_Gust_01_Root:Dummy_CastFX:cast"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "BackStart" "10"
data "CycleConditions" "Enemy"

